tay,vietnamese
tại lăng noọng bấu pây háng đuổi me?,tại sao em không đi chợ với mẹ?
tạng,dáng
tạc,con vắt
tượn,ngọt lợ
"tơ_i cón, pây háng rèo pây bắn tẳm dặng.","ngày xưa, đi chợ phải đi bộ từ sáng sớm."
tơi,đời
tơi cần,đời người
"tại lăng kha khuổi nẩy bát bốc, bảt noòng?",tại sao khe suối này lúc đầy lúc cạn?
tại,vì
tấng,x. tứng
tại,tại
tất,rắm
tất,x. pja tất
tấu,nhổ
tấu,phí
tấu,rùa
tấu nài.,nhổ nước bọt.
tấy,ngô
tấy nà,ngô đồng
tầu,chúa
tải,dẫn
tơ,tơ
tải,buộc ngang
tả téo,bỏ mặc
tạc kheo,vắt xanh
tại,do
tại,kéo
tại,lôi
tông can,mùa đông khô ráo
tông,đồng
thắp dự mu,tìm mua lợn
thư,khớp
thư,bấu víu
thư,bắt
thư,bừa
thư,chống
thư,cày
thư,cầm
thư,cắn
thư,dính
thư,kịp
tiển,tiến
thư,làm nghề
thư,mang
thư,say
thư,tận
thư thú,cầm đũa
tum,ỉa đùn
thẻng hẩư bảt nâng,đánh cho một phát
thếng,thênh thang
thơ lẩu cúa cần tày l'e bại bài lượn chang đảm lẩu.,"""thơ lẩu"" của người tày là các bài lượn trong đám cưới."
thúng,ngăn kéo
thúng,lẽ
thúm,ngập
thư hẩư mắn,cầm cho chắc
thư khẩu lèng pây nèm,mang cơm nắm đi theo
thư,đông
thư nhạn,đeo kính
thư nà mà mừ kha slẳm sluổi,đi cày về tay chân bẩn thỉu
thư nà thâng sloai,cày đến trưa
thư nà xáo,cày dối
thư nậu,đeo hoa tai
thư phưa,bừa
thư pjoóc mừ,đeo nhẫn
thư pjưa,bừa
thư slửa phôn,mang áo mưa
thư nà,làm ruộng
thư,đeo
thư,ăn
thư,tới
thúi,chửi
tiển,dâng
tiển bôm khửn choòng,dâng mâm lên bàn thờ
toi,đòi
tiểm,kiểm
tiu lồng nặm,lẳng xuống nước
tiêm,bệnh giang mai
tiêm,la
tiên,tiên
tiêu,tiêu
tiểm mẹc,điểm huyệt
tiếu,treo
tiếu xè,cảm cấp tính
tiểm,xỉa
tiểng,giọng
tiểm,đâm
tiểm,đếm
tiểm,đốm
tiểm cúa cái,kiểm của cải
tiểm khao,đốm trắng
tiếu kha tò khửn,treo ngược chân lên
tjệnh,đấm
tjụp lăng,đấm lưng
tiu,quăng
tiu,lẳng
tinh tuyện bại cần tha khao,nghe chuyện mọi người xanh mắt
tiểm mò vài,đếm trâu bò
tiểng,tiếng
"tiểng gặn vạ, nả gặn mèo",mặt bằng mèo
"tiểng gặn vạ, nả gặn mèo",tiếng bằng trời
tiểng lượn coỏng tằng bản,tiếng hát ngân vang cả bản
tiểm đăm,đốm đen
tiểng lượn đây tinh,giọng hát hay
tiểng moong thoóng khửn nhọt phù,tiếng mõ vang vọng lên đỉnh núi
tiểng then van ón,tiếng then du dương
"tiểng ti vi to quá, vặn eng vạ!","tiếng ti vi to quá, vặn nhỏ lại với!"
tiểng tày,tiếng tày
tiểng tày nùng boong hây chàu mì lai.,tiếng tày nùng chúng mình phong phú lắm.
tiểng tày nùng boong hây chàu mì lai.,tiếng tày nùng chúng mình rất phong phú.
tiểng tồn,tin đồn
tiệu,triệu
tiểng ma háu,tiếng chó sủa
tjẩn,ngắn
tiểm mừ khảu ấc,xỉa tay vào ngực
thư hua hết fiệc,ý hợp tâm đồng làm việc
thư hua,ý hợp tâm đồng
thư hua,quện nhau
thắn,bậc
thắc,mang
thắc,đeo
thắc then,châu chấu
thắc thông,tải tây
thắc thông,đeo túi
thắc thúa,cào cào
thắc thản,châu chấu to
thắc xảng,đeo bên sườn
thắn,ngấn
thư cằm,chấp
thắn,tầng
thương,mật
thư tậu làm tàng,chống gậy không đi đường được nhanh
thư thoong,thờ vật tổ
thúa pán,đỗ ván
thúa páp,đậu ván
thúa slai slửa,đậu đũa
thúa tâm,lạc
thắc,châu chấu
thẩu,ông bà
thẩu,cha mẹ
thầy mà tặng rực,thầy vào đến nơi
thắt tứ nhọt pù lồng,lê từ đỉnh núi xuống
thẳm pây háng,chuẩn bị đi chợ
thẳm thanh,chuẩn bị
thẳm thanh,sắm sửa
thẻ,cậy
thẻ,dựa
thẻ,thay
thẻn,bát quái
thẻng,hích
thẳm,ngườm
thắp,tìm
thắp,lùng
thắp,kiếm
thấu,săn
"thấu nạn coóc núm, dự chèn.","săn hươu lấy nhung, bán lấy tiền."
thầy giáo tạy boong lầu lượn lai bài đây.,thầy giáo dạy chúng tôi hát nhiều bài hay.
thầy mà tặng rực,im bặt
thúa xẳng,đỗ tương
thúa đin,lạc
thúa đin khủa rang,lạc rang
thúa,đậu
thúa coóc,đỗ chưa xay
thúa nhò nhè,đỗ hoa
thúa cà lán,đậu hà lan
thúa khao,đỗ trắng
thúa kheo,đậu xanh
thúa kheo,đỗ xanh
thúa kheo khủa bông,đỗ xanh nấu chín rồi rang tơi
thúa kin tủ,đậu cô ve
thúa mọt,đỗ bị mọt
"thúa mọt hết náu, bấu chin đảy.","đỗ bị mọt hết rồi, không ăn được."
thúa mọt lai.,đỗ bị mọt nhiều.
thúa khao,đậu trắng
thúc tha,thích mắt
thúc toọng,vừa ý
thúc ví,phạm điều kiêng kị
thư,đều
thư co,bén rễ
thúa,đỗ
thú náp au phjắc,dùng đũa gắp thức ăn
thúa đăm,đậu đen
thù cảng tuyện,thủ thỉ nói chuyện
thúa nựa,đậu đũa
thúa đăm,đỗ đen
thúc,chín
thúc,phải
thúc,vừa
thúc bú mèng dây,bị bùa con tò vò
thúc cò,vừa lòng
thúc cò,vừa ý
thúc da,bị ngộ độc
thúc pây,phải đi
thúc,bị
thúc tha,coi được
thúa nà,đỗ tương
thúa ngạt,giá đỗ
thông rụ tàng hết chin,hiểu biết cách làm ăn
thông to mác,túi đựng quả
thù,thì thủ thỉ
to,cống thoát nước
toi nhắng nhắng,đòi ầm ầm
tông,rầm
tin,tin
tin mừ lủ,không khéo
tin mừ lủ,chân tay kém
ti rườn,nền nhà
ti rườn,thổ cư
tin,bấc
tin,chân
tin,gót
tin,gấu
tin fung,uốn ván
tin mừ,tay sai
tin fạ,chân trời
tin khoá pỉn,gấu quần lật
tin khóa,gấu quần
tin khóa slóe,gấu quần rách bươm
tin khôn,chân lông
"tin lầy cà tốc tâừ, vỉ noọng ỉ",anh em ở đấy
"tin lầy cà tốc tâừ, vỉ noọng ỉ",giọt gianh rơi đâu
tin mừ,chân tay
tin mừ mjạc,hoa tay khéo
"tinh cần phuối tuyện slưa, lục đếch nựa tứn",trẻ con nổi gai ốc
tinh te phuối hăn cò ón,nghe nó nói thấy vừa lòng
tinh hết then,nghe hát then
ti phuông luông,vùng quê rộng lớn
tin pha,chân vách
tin pù,chân núi
tin slửa,gấu áo
tin đuây,chân cầu thang
tin đén,bấc đèn
tinh,làm theo
tinh,nghe
tinh,thần
tin mừ noọng khao bỏng như tiên.,bàn tay em trắng hồng như tiên.
"tinh cần phuối tuyện slưa, lục đếch nựa tứn",nghe người ta nói chuyện hổ
tinh cằm khôm thai tắc,nghe lời cay đắng chết uất
tinh cằm đảng,nghe theo lời đảng
tinh hâu phuối lầu táng hăn dỏn,nghe người ta nói
tinh hâu phuối lầu táng hăn dỏn,tự thấy giật mình
"tinh hẩư đây cón nè, bấu chư cạ phuối nhạu nau",không phải nói đùa đâu
"tinh hẩư đây cón nè, bấu chư cạ phuối nhạu nau",nghe cho kĩ đã nào
tin mừ,hoa tay
tin mừ khẻo,chân tay khéo
toi nỉ,đòi nợ
tôi thú,đôi đũa
tông nà tốc thắn,cánh đồng bậc thang
túm,quả xổ
tông cạy khảu lục lan,trông cậy vào con cháu
tông chí,đông chí
tôi,x. pja tôi
tôi,đôi
tôi cáy,đôi gà
tôi hài nung ngám,đôi giày đi vừa chân
tôm,đất
"tinh te phuối, hăn đắn lai",thấy tức lắm
tôm bông,đất xốp
tôm mục,đất bụi
tông cạy,trông cậy
tôm nà tòa cằn,đất ruộng be bờ ruộng
tôm đeng,đất sét
tôm đăm,đất đen
tôm ấc ma,đất cao lanh
tôm ấc ma,đất sét trắng
túc vuồn như nộc pây lạc ngản.,lòng buồn như chim lạc đàn.
tú,mòn
tú,kém thông minh
tú,cùn
tung,trong
tung gia,trong nhà
tung sli,cầu tiêu
tông nà chan,cánh đồng bát ngát
tông nà chắm chang moóc,cánh đồng chìm đắm trong sương mù
tông nà kheo lượp lượp,cánh đồng xanh rờn
tông nà kheo ứt,cánh đồng xanh mướt
tông nà khẩu slúc lương,đồng lúa chín vàng
tông nà khẩu slúc lương slau tan bấu lập coi sluốn,cánh đồng lúa chín vàng thu hoạch không kịp hãy tính
tông nà mjạc hăn pjòi,cánh đồng lúa tốt
tông nà phjêng phứt,cánh đồng phẳng lì
tông nà,đồng ruộng
tông nà quảng lin lin,cánh đồng rộng mênh mông
tông rườn,rầm nhà sàn
tù,mũ
tùm,chạm
tùm,vướng
ti năng,địa vị
ti năng,chỗ ngồi
thỏi đét,tia nắng
to slung tắm,so cao thấp
to,so
to,đo
to,đơm
to,đựng
to dầy,đơm đó
to mạy tứn lun,gốc cây mọc chồi
to mạy đó,gốc cây cụt ngủn
to nặm lìn,hứng nước máng
to slửa khóa,đo quần áo
thổm pù tẹp quang,càn núi săn nai
to thôm,cống thoát nước ao
to tẳn,tính toán
to tẳn,đo đạc
to tẳn hết rườn,đo đạc làm nhà
toa,thồ
toang,nhằng
toang,xâu
tinh then mi lai á.,nghe hát then thích lắm.
to,hứng
to,gốc cây
toang nựa quang,xâu thịt nai
toang quá tuyện đai,nhằng sang chuyện khác
toi rịu rịu,đòi nằng nặc
tom,bâu
tom,chụm
tom,hút nhụy
tom,xúm lại
toi,triệu tập
ton,hoạn
ton,nửa
ton,thiến
ton,đoạn
ton bán,thiến sót
ton dàu,đoạn thẳng
ton mạy,một đoạn gỗ
ton nhọt,ngắt ngọn
ton tàng,nửa đường
ton,ngắt
toi,gọi
thẻng khảu lăng pây,hích vào lưng
tinh then hăn tốc khuây bấu chắc mưa,nghe hát then bị say mê lúc nào không biết
"tinh te phuối, hăn đắn lai",nghe nó nói
thủi,x. pát
thỉnh,thính
thỏ,vốn
thỏ,đã nói
thỏi,dòng
thỏi,hàng
thỏi khoang,hàng ngang
thỏi nà,hàng lúa
thỏi slư,dòng chữ
thụ thạc,giập nát
thỏi tẳng,hàng dọc
thốc,cây luồng
thốc,gục
thốc,rủ
thống,thênh thênh
thổm,càn
thổm,úp
thổm pja,úp cá
thụ,giập
ti lạ,nơi lạ
thủng,x. slủng
ti fuông,địa phương
ti,chốn
ti,chỗ
ti,nơi
ti,sợi dọc
ti,tịt
ti,đặc
ti da,môi trường
thủng,cái rổ
ti da,thiên nhiên
"ti fuông lầu mì slí mùa, pú nắt mùa tầư?",vùng mình có bốn mùa
"ti fuông lầu mì slí mùa, pú nắt mùa tầư?",ông thích mùa nào nhất?
ti fuông nẩy mì lai mạy cải,địa phương này có nhiều cây to
ti fằn,nghĩa địa
ti hâư,chỗ nào
ti hâư,nơi nào
ti hâư,đâu
"ti hâư tố mì cần đây, cần lóa",ở chỗ nào cũng có người tốt kẻ xấu
thâng hẹn coi mừa,đến hẹn hãy về
thâng mùa fiệc tăn bắp đông phja,đến mùa này trỉa bắp trên nương
"thâng mảu tan tắp, cầu mà hưa ham pựn, bec pè?",đến mùa gặt hái ai giúp mình khiêng loỏng vác ván đạp lúa?
tộc éc,thô bạo
tội,trồi
tội,tội
tội,đội
tội tềng hua,đội trên đầu
tộng,chọc thủng
tộng,giở chứng
tộng,sắp
tộng,đũng
tộng cái mạy peo,chọc thông cây nứa
tổm nặm,nấu nước
tộc,giật
tổng pền pò,chất thành đống
tổ tạ,đánh đố
tổm,luộc
tổm,nấu
tổm,sắc
tổm da,sắc thuốc
tổm lẩu,nấu rượu
tộc éc,thái quá
tộc,tặc
tộc éc,dỗi
tộc rèng,sức khỏe
đăng phết,tủi thân
đăng pư,ngạt mũi
đăng pắp,mũi tẹt
đăng pắp,nhụt chí
đăng sliểm,mũi nhọn
đăng ti,mũi tịt
đăng tắc ngậu,mũi gẫy quặp
đảm lẩu,đám cưới
xít mục,lau mũi
xít,tí
xít,suýt
tộc,xòe
tộc cái thau,giật sợi dây
tộc lịn,tặc lưỡi
tộc phjôm,giật tóc
tộc quạt,xòe quạt
tộc rèng,công sức
tổm mu,nấu cám lợn
tổng slứt phà,đống chăn màn
đăng kho,mũi quặp
tức,câu
"tứ nẩy pây thâng hà nội xẩư dầy, chắng pác lai cái hin, pây ô tô sloong giờ đồng hồ le thâng.",đi ô tô hai giờ đồng hồ là đến rồi.
tứ rườn thâng trường,từ nhà đến trường
tứ vằn oóc tu,từ ngày ra đi
tức,bón
tức,bả
tức,bật
tức,bỏ
tức,chơi
"tứ nẩy thâng bản cốc bây độ kỷ lai cái hin, bảc nỏ?",từ đây đến làng cốc bây độ bao nhiêu cây số hả bác?
tổm nựa mu,luộc thịt lợn
tủng,vấp
tủng,vướng
tủng,túng
tộng thai,giở chứng muốn chết
"tởi gần bặng mạ lẻn pi, bươn bặng ẻn bân",năm tháng tựa én bay
"tởi gần bặng mạ lẻn pi, bươn bặng ẻn bân",đời người như ngựa phi
tợ,tàng dở dang
tụp,đánh
tủng,đụng
"tứ nẩy pây thâng hà nội xẩư dầy, chắng pác lai cái hin, pây ô tô sloong giờ đồng hồ le thâng.",từ đây đi hà nội gần thôi
"tứ nẩy pây thâng hà nội xẩư dầy, chắng pác lai cái hin, pây ô tô sloong giờ đồng hồ le thâng.",không phải đi đường đèo nhiều
"tứ dặng thâng đăm, khỏi hết fiệc.","từ sáng đến tối, tôi làm việc."
tổm pẻng hó,luộc bánh chưng
tổn,tốn
tổn kỉ lai tố đảy,tốn bao nhiêu cũng được
tổn minh,đoản mệnh
tổng,trống
tổng,x. tẹp phai
tổng,đống
tổng khẩu,đống lúa
tổm pú,luộc
tộng khóa,đũng quần
tộng phôn,sắp mưa
tộng piếng pha,đục thủng bức liếp
tủng chèn,túng tiền
tủng thiểu,túng thiếu
tứ,từ
tứ bươn chiêng thâng bươn lạp,từ tháng giêng đến tháng chạp
tứ chài thâng nhình,từ trai đến gái
đăng phết,cay mũi
đăng hăn phứng mên,mũi chợt ngửi thấy thối
"thâng mảu thây như cần hâu mà tức thây, chỏi phưa?","đến mùa lấy ai đẽo cày, đóng bừa?"
đăm lặp la,trời nhập nhoạng tối
đăm rặm rặm,tối sầm sập
đăm tha,tối mắt
đăm thí,tối mịt
đăm đin,tối trời
đăm đâu,nâu sẫm
đăm nà y thỏi cáu,cấy lúa theo hàng trước
đăm đẻn,lấm láp
đăm mọm ngòi bấu hăn cần,tối mịt không nhìn thấy mặt người
đút lao mạp mạp,hút thuốc phì phèo
đăm chay,trồng trọt
đút nịu mừ,mút ngón tay
đút đú,tắc họng
đăm,lặn
đăm,màu đen
đăm,mực
đăm,ô
đăm,đen
đăm mọm,tối mịt
đăm pây đai,tối đi mất
đăm pja,lặn bắt cá
đăm phját,đen nhẻm
"đăm nà tẳm ngoang á, khẩu bấu quá ngài chiêng",tận khi ve rừng kêu mới cấy
"đảy á, pí đang slí cẩn, bấu khửn rườn a.",không vào nhà đâu.
"đảy á, pí đang slí cẩn, bấu khửn rườn a.",thôi được rồi
đảy á. pjom bái á.,vâng ạ. cảm ơn ạ.
đảy đi,được thể
đảm tắc khẩu,đũa cả xới cơm
đút,mút
đảm lẩu xoòng slam xiên cần,đám cưới gần ba nghìn người
đảm,đám
đăm nhám,đen sì
đăm nhám,đen thui
đăm nhám,đen xì
đăm nà kho éc hoài sống hẩư đai bố rẳp,cô gái nào đi cấy mà thỏi mạ cấy xong cong queo như ách trâu thì cho không cũng chẳng rước
đăm nà nắn bặng pưn tỏi thâng sam pác ngần gụng răp,có đòi ba trăm lạng vàng cũng đón
đăm nà nắn bặng pưn tỏi thâng sam pác ngần gụng răp,cấy lúa mà hàng thẳng tắp như mũi tên
đăm nà nắn bặng pưn tỏi thâng sam pác ngần gụng răp,xin cô gái ấy về làm dâu
"đăm nà tẳm ngoang á, khẩu bấu quá ngài chiêng",bữa tết không còn gạo
đăm ngùm,tối om
đăm bặng bẻ bót,tối mù mịt như con dê bị mù
đăm chay mì mau,trồng trọt có thời vụ
đăng fầy cải thương noòng pjù,đun lửa to mật sôi trào
đưa,cái cựa
đạ năm nà dá,đã cấy lúa rồi
đạm,rau má
đạn,viên đạn
đạn bên vỉu vỉu,đạn bay vèo vèo
đạn nuốc,đạn không nổ
đạn sla,đạn ghém
đướng,bênh lên
đưa cáy,cựa gà
đăng vất,sổ mũi
đăm co đai,cấy cây khác
đăng,cái sẹo
đăng,xem fạ roọng
đăng,đun
đăng boỏng,tự hào
đăng bắt,ngạt mũi
đăng bắt,tịt mũi
đăng cuông,phổng mũi
đăng fầy,đun bếp
đạ,đã
đướt,ấm
đướn,tăm hơi
đưa cáy sleng,cựa gà trống
đăm cum,tối mù
đăm cắm,thâm tím
"đăm khuya, hăn fạ mjẹp tàng quây.","đêm khuya, thấy chớp ở đằng xa."
đăm lài lạng,tối nhá nhem
đăm lít,đen nhánh
đăm bặng bẻ bót,tối như dê mù
đăm đẻn,nhọ nhem
đăm đỉn,tối tăm
đăn hạch,hạch
đươn,giun đất
đươn chuốn cằn nà,giun đục bờ ruộng
đươn fựt mèng quẹng rực,giun dế bỗng im bặt
đươn vạt,giun đất loại to
đướn,cười mỉa
đướn,cười theo
đướn,của thừa
đướn,thức giấc
tụp,đấm
tụp con,đánh đập
tụp lăng,đấm lưng
vang chang,gian giữa
vang,bừa bãi
vang,gian
vang,khoảng cách
vang,khoảng trống
vang,lung tung
van xói,xói
vang,màng
vang bắp quảng,khoảng cách giữa các cây ngô rộng
vang hé,gian đầu hồi
vai cần,hư người
vang hé,gian ở chái nhà
vang kha,háng
vao,khuyết
vao,mẻ
vao,sứt
vang,mê sảng
vau,khuyết
van pện thương,ngọt như đường
vang,bẫy dây
van ón,ngòn ngọt
van ón,du dương
tức,đẽo
tốc tẩư,lệch dưới
tốc tẩư,lệch về phía dưới
